Star   [Fe/H] [Fe/H]err   [O1/Fe] [O1/Fe]err  [Na/Fe] [Na/Fe]err  [Mg/Fe] [Mg/Fe]err  [Si/Fe] [Si/Fe]err  [Ca/Fe] [Ca/Fe]err  [Ti1/Fe] [Ti1/Fe]err [Ti2/Fe] [Ti2/Fe]err [Sc/Fe] [Sc/Fe]err [Fe2/Fe] [Fe2/Fe]err  [Cr/Fe] [Cr/Fe]err [Ni/Fe] [Ni/Fe]err  [Co/Fe] [Co/Fe]err  [Zn/Fe] [Zn/Fe]err  [Y/Fe] [Y/Fe]err  [Ba/Fe] [Ba/Fe]err  [La/Fe] [La/Fe]err  [Nd/Fe] [Nd/Fe]err  [Eu/Fe] [Eu/Fe]err
ET0094  -1.86  0.15 -99.00  9.90 -99.00  9.90   0.64  0.18 -99.00  9.90   0.14  0.05   0.04  0.11   0.07  0.23  -0.05  0.26   0.10  0.29  -0.40  0.14 -99.00  9.90  -0.01  0.17 -99.00  9.90 -99.00  9.90  -0.31  0.20 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0095  -2.16  0.20   0.35  0.22 -99.00  9.90   0.57  0.12 -99.00  9.90   0.19  0.07  -0.02  0.11   0.09  0.24  -0.10  0.23   0.09  0.28  -0.08  0.15   0.25  0.10   0.02  0.08 -99.00  9.90 -99.00  9.90  -0.09  0.21 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0097  -1.91  0.16 -99.00  9.90 -99.00  9.90   0.19  0.16   0.72  0.18   0.24  0.06   0.09  0.10   0.05  0.24 -99.00  9.90   0.07  0.26  -0.10  0.12  -0.04  0.11  -0.04  0.15 -99.00  9.90 -99.00  9.90  -0.07  0.19   0.24  0.20 -99.00  9.90 -99.00  9.90
ET0103  -1.21  0.13 -99.00  9.90 -99.00  9.90   0.07  0.19   0.05  0.17  -0.02  0.07  -0.10  0.14  -0.31  0.21  -0.37  0.23   0.06  0.23  -0.37  0.21  -0.31  0.14   0.02  0.22 -99.00  9.90 -99.00  9.90   0.04  0.21  -0.18  0.18   0.05  0.18   0.05  0.23
ET0104  -1.62  0.17   0.33  0.21 -99.00  9.90   0.37  0.15 -99.00  9.90   0.25  0.07   0.00  0.08   0.09  0.21  -0.22  0.24   0.06  0.27  -0.07  0.13   0.15  0.16   0.08  0.13 -99.00  9.90 -99.00  9.90   0.30  0.19   0.02  0.19   0.44  0.22   0.63  0.23
ET0109  -1.85  0.11 -99.00  9.90 -99.00  9.90   0.55  0.14 -99.00  9.90   0.15  0.06   0.02  0.14   0.11  0.19  -0.19  0.19   0.26  0.23  -0.26  0.16   0.01  0.09   0.09  0.13 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.12  0.16 -99.00  9.90   0.60  0.19
ET0113  -2.18  0.19 -99.00  9.90 -99.00  9.90   0.45  0.14 -99.00  9.90   0.23  0.07  -0.06  0.13   0.13  0.24 -99.00  9.90   0.09  0.29  -0.19  0.29 -99.00  9.90 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.07  0.21 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0121  -2.35  0.20 -99.00  9.90 -99.00  9.90   0.41  0.17 -99.00  9.90   0.31  0.10 -99.00  9.90   0.12  0.25 -99.00  9.90   0.10  0.30  -0.37  0.15 -99.00  9.90   0.40  0.15 -99.00  9.90 -99.00  9.90  -0.67  0.23 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0126  -1.11  0.16 -99.00  9.90 -99.00  9.90  -0.12  0.19 -99.00  9.90  -0.14  0.10  -0.36  0.15  -0.16  0.20 -99.00  9.90   0.07  0.28  -0.18  0.21  -0.33  0.15  -0.02  0.17 -99.00  9.90 -99.00  9.90  -0.06  0.17  -0.39  0.20  -0.10  0.21   0.35  0.23
ET0132  -1.50  0.15 -99.00  9.90 -99.00  9.90   0.20  0.15 -99.00  9.90   0.15  0.06  -0.06  0.12   0.04  0.19  -0.27  0.23   0.03  0.27  -0.14  0.20  -0.21  0.12  -0.07  0.13 -99.00  9.90 -99.00  9.90   0.32  0.18   0.10  0.18   0.20  0.22   0.68  0.22
ET0133  -1.07  0.15  -0.19  0.21 -99.00  9.90  -0.08  0.18   0.09  0.22   0.03  0.10  -0.26  0.15  -0.26  0.17  -0.38  0.23   0.08  0.26  -0.23  0.21  -0.30  0.23   0.00  0.17 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.32  0.19 -99.00  9.90   0.18  0.23
ET0137  -0.89  0.18  -0.27  0.25  -0.83  0.27  -0.07  0.21 -99.00  9.90  -0.10  0.14  -0.30  0.17  -0.25  0.22  -0.61  0.26   0.10  0.29  -0.30  0.23  -0.33  0.19   0.10  0.20 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.31  0.17  -0.41  0.25  -0.22  0.26
ET0138  -1.70  0.15   0.14  0.21 -99.00  9.90   0.30  0.16 -99.00  9.90   0.18  0.06   0.07  0.10   0.00  0.19 -99.00  9.90   0.03  0.23  -0.32  0.12   0.04  0.12   0.15  0.14 -99.00  9.90 -99.00  9.90  -0.26  0.18   0.12  0.19 -99.00  9.90   0.50  0.23
ET0139  -1.41  0.11 -99.00  9.90 -99.00  9.90   0.02  0.21 -99.00  9.90  -0.02  0.07  -0.18  0.13  -0.24  0.25  -0.34  0.25   0.12  0.26  -0.20  0.23  -0.32  0.16   0.00  0.19 -99.00  9.90 -99.00  9.90  -0.26  0.24  -0.28  0.22 -99.00  9.90   0.22  0.25
ET0141  -1.68  0.15 -99.00  9.90 -99.00  9.90   0.45  0.19 -99.00  9.90   0.19  0.06  -0.14  0.13  -0.01  0.20  -0.28  0.26   0.06  0.24  -0.04  0.16   0.04  0.14  -0.06  0.18 -99.00  9.90 -99.00  9.90   0.10  0.21   0.05  0.21 -99.00  9.90   0.56  0.25
ET0147  -1.15  0.16  -0.19  0.32 -99.00  9.90   0.01  0.24 -99.00  9.90  -0.03  0.12  -0.11  0.15   0.11  0.25 -99.00  9.90   0.20  0.34   0.08  0.24  -0.21  0.17  -0.16  0.22 -99.00  9.90 -99.00  9.90  -0.28  0.31 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0150  -0.93  0.11 -99.00  9.90 -99.00  9.90  -0.29  0.19 -99.00  9.90   0.02  0.10  -0.40  0.14  -0.11  0.17  -0.64  0.22   0.01  0.25  -0.20  0.22  -0.38  0.16  -0.11  0.19 -99.00  9.90 -99.00  9.90  -0.15  0.16  -0.34  0.15 -99.00  9.90  -0.04  0.22
ET0151  -1.77  0.16 -99.00  9.90 -99.00  9.90   0.34  0.15 -99.00  9.90   0.31  0.05   0.02  0.10   0.11  0.22  -0.06  0.24   0.07  0.26  -0.06  0.17   0.02  0.10  -0.04  0.14 -99.00  9.90 -99.00  9.90  -0.08  0.27   0.06  0.19 -99.00  9.90   0.55  0.24
ET0158  -1.80  0.21 -99.00  9.90 -99.00  9.90   0.34  0.21 -99.00  9.90   0.17  0.08   0.14  0.30   0.15  0.25 -99.00  9.90   0.03  0.27   0.14  0.24 -99.00  9.90  -0.04  0.20 -99.00  9.90 -99.00  9.90   0.36  0.27 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0160  -1.16  0.14  -0.18  0.19 -99.00  9.90  -0.05  0.17 -99.00  9.90   0.03  0.10  -0.24  0.13  -0.08  0.20  -0.30  0.22   0.12  0.29  -0.22  0.17  -0.15  0.15  -0.24  0.12 -99.00  9.90 -99.00  9.90   0.05  0.17  -0.19  0.18 -99.00  9.90   0.22  0.23
ET0163  -1.86  0.21 -99.00  9.90 -99.00  9.90   0.36  0.17 -99.00  9.90   0.15  0.10 -99.00  9.90   0.06  0.28 -99.00  9.90   0.08  0.33   0.16  0.21 -99.00  9.90 -99.00  9.90 -99.00  9.90 -99.00  9.90   0.04  0.26 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0164  -1.89  0.22 -99.00  9.90 -99.00  9.90   0.27  0.19 -99.00  9.90   0.29  0.11   0.23  0.13   0.17  0.29 -99.00  9.90   0.13  0.35  -0.12  0.20   0.28  0.19   0.13  0.18 -99.00  9.90 -99.00  9.90  -0.04  0.29 -99.00  9.90 -99.00  9.90 -99.00  9.90
ET0165  -1.10  0.17 -99.00  9.90 -99.00  9.90   0.02  0.21   0.08  0.24  -0.05  0.07  -0.19  0.13  -0.26  0.20  -0.37  0.26   0.12  0.27  -0.14  0.17  -0.28  0.20 -99.00  9.90 -99.00  9.90 -99.00  9.90   0.02  0.21  -0.17  0.19   0.09  0.23 -99.00  9.90
ET0166  -1.49  0.15 -99.00  9.90   0.09  0.21   0.30  0.16 -99.00  9.90   0.16  0.05   0.06  0.10   0.09  0.21 -99.00  9.90   0.07  0.27  -0.11  0.15   0.04  0.11  -0.04  0.13 -99.00  9.90 -99.00  9.90  -0.03  0.20   0.06  0.18 -99.00  9.90   0.45  0.22
ET0168  -1.10  0.17  -0.17  0.28 -99.00  9.90  -0.18  0.22 -99.00  9.90   0.09  0.09  -0.36  0.15  -0.03  0.31 -99.00  9.90   0.06  0.29  -0.31  0.17  -0.25  0.22  -0.18  0.20 -99.00  9.90 -99.00  9.90   0.13  0.23  -0.21  0.23 -99.00  9.90   0.22  0.28
ET0173  -1.47  0.10 -99.00  9.90 -99.00  9.90   0.19  0.18 -99.00  9.90  -0.01  0.10  -0.33  0.15  -0.05  0.16 -99.00  9.90   0.28  0.27  -0.42  0.21  -0.25  0.14   0.22  0.15 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.26  0.14  -0.07  0.17   0.41  0.21
ET0198  -1.16  0.17 -99.00  9.90 -99.00  9.90   0.02  0.19 -99.00  9.90  -0.12  0.07  -0.23  0.11  -0.19  0.27 -99.00  9.90   0.08  0.27  -0.06  0.15  -0.16  0.20  -0.26  0.17 -99.00  9.90 -99.00  9.90   0.15  0.19  -0.22  0.21 -99.00  9.90 -99.00  9.90
ET0200  -1.49  0.19 -99.00  9.90 -99.00  9.90   0.20  0.23 -99.00  9.90   0.16  0.07  -0.03  0.12   0.12  0.25 -99.00  9.90   0.13  0.30  -0.18  0.15   0.40  0.22  -0.09  0.19 -99.00  9.90 -99.00  9.90   0.18  0.38   0.22  0.24 -99.00  9.90   0.72  0.30
ET0202  -1.32  0.19 -99.00  9.90 -99.00  9.90   0.09  0.32   0.36  0.24   0.19  0.08  -0.06  0.14   0.02  0.25 -99.00  9.90   0.11  0.29  -0.21  0.17  -0.12  0.19 -99.00  9.90 -99.00  9.90 -99.00  9.90  -0.29  0.31   0.20  0.30 -99.00  9.90 -99.00  9.90
ET0206  -1.33  0.17 -99.00  9.90 -99.00  9.90   0.12  0.19 -99.00  9.90   0.10  0.09  -0.14  0.13   0.06  0.28 -99.00  9.90   0.06  0.26  -0.09  0.14  -0.28  0.15  -0.22  0.18 -99.00  9.90 -99.00  9.90   0.02  0.22   0.03  0.21 -99.00  9.90   0.50  0.27
ET0232  -1.00  0.18 -99.00  9.90 -99.00  9.90  -0.10  0.17  -0.06  0.19   0.02  0.07  -0.31  0.13  -0.35  0.26  -0.55  0.26   0.00  0.27  -0.18  0.13  -0.22  0.15  -0.36  0.15 -99.00  9.90 -99.00  9.90   0.07  0.22  -0.22  0.22 -99.00  9.90 -99.00  9.90
